t,u0,u1,y0,y1,yT0,yT1
0.166,1,0,0.0003312,8.8669e-05,-0.00055682,9.5187e-05
0.168,1,0,0.00033549,8.9726e-05,0.00023844,-3.9212e-05
0.17,1,0,0.00033971,9.0748e-05,0.00038683,-5.0825e-05
0.172,1,0,0.00034388,9.1733e-05,0.00037842,0.00012029
0.174,1,0,0.00034798,9.2683e-05,0.0001271,0.0001476
0.176,1,0,0.00035201,9.3596e-05,-0.00010249,0.00018896
0.178,1,0,0.00035598,9.4472e-05,0.0002096,0.00020692
0.18,1,0,0.00035988,9.5311e-05,0.0011542,0.00026767
0.182,1,0,0.00036371,9.6112e-05,2.3927e-05,5.0274e-05
0.184,1,0,0.00036747,9.6876e-05,0.00036281,2.7826e-05
0.186,1,0,0.00037116,9.7602e-05,-5.5959e-05,0.00023793
0.188,1,0,0.00037478,9.829e-05,0.00083843,2.5621e-05
0.19,1,0,0.00037833,9.894e-05,0.00067923,0.0003721
0.192,1,0,0.0003818,9.9552e-05,0.00047095,0.00022734
0.194,1,0,0.00038519,0.00010013,0.00038932,2.902e-05
0.196,1,0,0.00038851,0.00010066,0.00092977,4.9991e-05
0.198,1,0,0.00039176,0.00010116,0.0006099,0.00013902
0.2,1,0,0.00039493,0.00010162,0.00039605,0.00015556
0.202,1,0,0.00039802,0.00010204,0.00040003,0.00010772
0.204,1,0,0.00040103,0.00010243,0.00040263,0.00011328
0.206,1,0,0.00040396,0.00010278,0.00040707,0.00011255
0.208,1,0,0.00040682,0.00010309,0.00039774,9.9198e-05
0.21,1,0,0.00040959,0.00010337,0.00039576,0.00010271
0.212,1,0,0.00041229,0.00010361,0.00040404,0.00011908
0.214,1,0,0.0004149,0.00010381,0.0004041,8.0945e-05
0.216,1,0,0.00041744,0.00010398,0.00041107,0.00012479
0.218,1,0,0.00041989,0.00010412,0.00043633,0.00011421
0.22,1,0,0.00042227,0.00010422,0.00043875,0.00012375
0.222,1,0,0.00042456,0.00010429,0.00040091,0.00010221
0.224,1,0,0.00042677,0.00010432,0.00041265,9.695e-05
0.226,1,0,0.00042891,0.00010432,0.00042812,0.00010677
0.228,1,0,0.00043096,0.00010429,0.00043923,0.00011273
0.23,1,0,0.00043293,0.00010423,0.00042889,8.3012e-05
0.232,1,0,0.00043482,0.00010414,0.00044172,0.00011517
0.234,1,0,0.00043663,0.00010401,0.00041828,9.1183e-05
0.236,1,0,0.00043836,0.00010386,0.00045114,0.00010896
0.238,1,0,0.00044001,0.00010368,0.00043131,8.6866e-05
0.24,1,0,0.00044159,0.00010347,0.00043344,0.00010857
0.242,1,0,0.00044308,0.00010323,0.00044513,0.00011815
0.244,1,0,0.00044449,0.00010296,0.00044606,0.00014416
0.246,1,0,0.00044583,0.00010267,0.00045272,9.6885e-05
0.248,1,0,0.00044709,0.00010235,0.00041946,9.2018e-05
0.25,1,0,0.00044827,0.00010201,0.0004395,0.00010444
0.252,1,0,0.00044938,0.00010165,0.00047222,0.00011431
0.254,1,0,0.00045041,0.00010126,0.00045697,0.0001009
0.256,1,0,0.00045136,0.00010085,0.00046787,0.00011621
0.258,1,0,0.00045224,0.00010041,0.00043526,0.0001316
0.26,1,0,0.00045305,9.9958e-05,0.00045128,0.00010352
0.262,1,0,0.00045378,9.9483e-05,0.00047899,0.0001168
0.264,1,0,0.00045444,9.8988e-05,0.00046648,0.00010696
0.266,1,0,0.00045503,9.8475e-05,0.00046355,0.00011271
0.268,1,0,0.00045555,9.7943e-05,0.00045089,8.3631e-05
0.27,1,0,0.000456,9.7394e-05,0.00045962,8.2835e-05
0.272,1,0,0.00045638,9.6829e-05,0.00045257,9.2321e-05
0.274,1,0,0.00045669,9.6247e-05,0.00045228,0.00011358
0.276,1,0,0.00045694,9.5651e-05,0.00045491,9.6068e-05
0.278,1,0,0.00045711,9.504e-05,0.0004461,0.0001048
0.28,1,0,0.00045723,9.4415e-05,0.00047368,8.6598e-05
0.282,1,0,0.00045728,9.3778e-05,0.00043917,7.5261e-05
0.284,1,0,0.00045726,9.3128e-05,0.00048138,8.6565e-05
0.286,1,0,0.00045719,9.2467e-05,0.00047338,0.0001048
0.288,1,0,0.00045705,9.1796e-05,0.00046536,0.00012412
0.29,1,0,0.00045685,9.1114e-05,0.00045215,9.166e-05
0.292,1,0,0.0004566,9.0423e-05,0.00046713,6.8208e-05
0.294,1,0,0.00045629,8.9723e-05,0.00046337,7.1503e-05
0.296,1,0,0.00045592,8.9016e-05,0.00044648,0.00010724
0.298,1,0,0.00045549,8.8301e-05,0.00043089,6.0948e-05
0.3,1,0,0.00045501,8.7579e-05,0.00045083,7.0203e-05
0.302,1,0,0.00045448,8.6852e-05,0.000455,8.72e-05
0.304,1,0,0.0004539,8.6119e-05,0.00045818,5.3377e-05
0.306,1,0,0.00045327,8.5381e-05,0.00045637,7.4909e-05
0.308,1,0,0.00045258,8.464e-05,0.00045792,0.00010552
0.31,1,0,0.00045185,8.3895e-05,0.00046699,8.26e-05
0.312,1,0,0.00045108,8.3147e-05,0.00042913,6.4728e-05
0.314,1,0,0.00045025,8.2397e-05,0.00047942,6.8226e-05
0.316,1,0,0.00044939,8.1645e-05,0.00046584,9.3984e-05
0.318,1,0,0.00044848,8.0892e-05,0.00043031,9.6675e-05
0.32,1,0,0.00044753,8.0138e-05,0.00047665,8.9645e-05
0.322,1,0,0.00044653,7.9385e-05,0.00042304,9.3998e-05
0.324,1,0,0.0004455,7.8632e-05,0.00046726,8.2217e-05
0.326,1,0,0.00044444,7.788e-05,0.00042645,7.8641e-05
0.328,1,0,0.00044333,7.7129e-05,0.000452,8.371e-05
0.33,1,0,0.00044219,7.638e-05,0.00043005,6.3747e-05
0.332,1,0,0.00044102,7.5634e-05,0.00042267,8.0029e-05
0.334,1,0,0.00043981,7.4891e-05,0.00046054,0.00010293
0.336,1,0,0.00043857,7.4151e-05,0.00043512,7.9975e-05
0.338,1,0,0.0004373,7.3415e-05,0.00043019,0.00010263
0.34,1,0,0.000436,7.2684e-05,0.0004332,7.8448e-05
0.342,1,0,0.00043468,7.1957e-05,0.00044633,9.885e-05
0.344,1,0,0.00043333,7.1235e-05,0.00042371,5.6912e-05
0.346,1,0,0.00043195,7.0518e-05,0.00041671,7.1814e-05
0.348,1,0,0.00043055,6.9808e-05,0.00044345,8.9395e-05
0.35,1,0,0.00042913,6.9103e-05,0.00042978,7.6045e-05
0.352,1,0,0.00042769,6.8405e-05,0.00044464,5.9403e-05
0.354,1,0,0.00042622,6.7714e-05,0.00044131,7.3903e-05
0.356,1,0,0.00042474,6.703e-05,0.00041487,8.8024e-05
0.358,1,0,0.00042324,6.6354e-05,0.00042528,8.7977e-05
0.36,1,0,0.00042172,6.5685e-05,0.00040366,5.7394e-05
0.362,1,0,0.00042019,6.5024e-05,0.00042791,5.9908e-05
0.364,1,0,0.00041864,6.4372e-05,0.00042721,6.5155e-05
0.366,1,0,0.00041709,6.3729e-05,0.00040029,3.4866e-05
0.368,1,0,0.00041552,6.3094e-05,0.00043251,7.0785e-05
0.37,1,0,0.00041393,6.2468e-05,0.0004235,5.7742e-05
0.372,1,0,0.00041234,6.1852e-05,0.0004485,6.7714e-05
0.374,1,0,0.00041075,6.1245e-05,0.00040554,4.4789e-05
0.376,1,0,0.00040914,6.0648e-05,0.00040753,5.1391e-05
0.378,1,0,0.00040753,6.0061e-05,0.00042967,3.3921e-05
0.38,1,0,0.00040591,5.9484e-05,0.00043141,5.2322e-05
0.382,1,0,0.00040429,5.8917e-05,0.00039383,7.429e-05
0.384,1,0,0.00040267,5.8361e-05,0.00040865,5.7248e-05
0.386,1,0,0.00040104,5.7816e-05,0.00039931,5.0501e-05
0.388,1,0,0.00039941,5.7281e-05,0.00040191,4.9136e-05
0.39,1,0,0.00039779,5.6757e-05,0.00038217,5.6436e-05
0.392,1,0,0.00039616,5.6244e-05,0.00040354,6.8522e-05
0.394,1,0,0.00039454,5.5742e-05,0.00041613,7.2457e-05
0.396,1,0,0.00039292,5.5251e-05,0.00040698,8.9196e-05
0.398,1,0,0.0003913,5.4772e-05,0.00035708,5.592e-05
0.4,1,0,0.00038969,5.4304e-05,0.000385,6.5974e-05
0.402,1,0,0.00038809,5.3847e-05,0.00040327,7.3877e-05
0.404,1,0,0.00038649,5.3402e-05,0.00036569,6.9642e-05
0.406,1,0,0.0003849,5.2968e-05,0.000392,5.4676e-05
0.408,1,0,0.00038331,5.2546e-05,0.00039995,5.7385e-05
0.41,1,0,0.00038174,5.2136e-05,0.00035093,4.8969e-05
0.412,1,0,0.00038018,5.1737e-05,0.00040826,4.2789e-05
0.414,1,0,0.00037862,5.135e-05,0.00036274,4.0529e-05
0.416,1,0,0.00037708,5.0974e-05,0.00037656,6.5701e-05
0.418,1,0,0.00037555,5.0611e-05,0.00037467,5.3539e-05
0.42,1,0,0.00037403,5.0259e-05,0.0003847,5.6273e-05
0.422,1,0,0.00037253,4.9918e-05,0.00036772,7.3773e-05
0.424,1,0,0.00037104,4.959e-05,0.00035828,2.6838e-05
0.426,1,0,0.00036957,4.9273e-05,0.00036356,5.2203e-05
